ra,dec,mjd,plate,fiberID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,class,z,w1mpro,w2mpro,w3mpro,w4mpro
17.786551,-0.77362048,57358,8789,253,22.47062,21.53132,21.24279,21.3229,21.5455,GALAXY,1.475618,17.062,15.499,11.73,8.436
17.846941,-0.89277648,57358,8789,252,22.82649,22.76199,22.13041,22.66276,21.83398,GALAXY,1.186833,17.098,15.479,12.651,8.753
18.688294,0.017651002,57358,8789,80,22.75002,23.94277,21.99279,21.37087,20.55722,GALAXY,1.147768,16.485,15.991,12.301,8.999
17.4472,0.15317068,57358,8789,695,24.28075,23.34731,22.42286,21.93864,21.62034,GALAXY,1.606259,16.217,15.319,12.473,8.803
19.112668,0.16250934,57358,8789,997,23.69393,23.40893,22.46154,21.69813,21.42722,GALAXY,1.64817,16.813,16.133,12.337,8.764
20.715925,0.8513151,57363,8790,913,23.60756,22.82162,22.4342,21.68858,20.63479,GALAXY,1.057534,15.547,13.681,9.725,7.43
136.46461,31.628891,58142,10438,653,22.81419,22.70245,22.48342,21.93627,20.64627,GALAXY,1.142563,17.115,16.485,11.858,8.847
136.19644,31.357953,58142,10438,398,24.74334,22.97869,22.24315,22.05103,21.14451,GALAXY,1.113216,16.688,16.216,12.53,8.644
136.04295,31.530124,58142,10438,577,23.36853,22.75128,21.92586,21.39453,20.61302,GALAXY,1.045269,15.85,15.048,12.047,8.339
135.26136,30.902169,58135,10437,920,24.26687,23.48361,23.56578,22.08651,21.04375,GALAXY,1.365104,16.464,15.493,12.157,9.101
135.73878,31.003518,58142,10438,481,25.18155,23.74195,23.1109,21.69155,21.52314,GALAXY,1.408528,17.02,16.241,12.632,8.468
135.593,30.475367,58135,10437,969,22.61909,22.39845,22.45236,23.39183,21.90424,GALAXY,1.610284,17.433,15.757,11.921,9.056
135.44427,30.756507,58135,10437,915,23.21494,22.93483,21.74636,21.04498,20.4436,GALAXY,1.047931,16.997,16.564,12.701,9.056
135.13347,30.567351,58135,10437,883,23.34194,23.00221,22.14621,21.87701,21.68268,GALAXY,1.533912,17.004,16.449,12.171,9.041
134.92235,30.33832,58135,10437,805,24.15213,22.53396,21.78114,21.43673,22.10274,GALAXY,1.17578,16.457,15.416,12.089,8.464
135.4243,30.335037,58135,10437,932,23.48107,22.84701,22.45408,22.08331,21.58774,GALAXY,1.060835,16.905,16.643,12.422,8.423
133.78536,26.025935,58436,11126,596,21.99813,21.78633,21.79677,21.76045,21.68582,GALAXY,1.430139,16.401,16.04,12.565,8.88
125.81211,54.006373,56746,7301,865,23.87239,23.50964,22.25361,20.99081,19.8607,GALAXY,1.13715,15.319,14.833,12.522,9.181
123.34737,53.463572,56746,7301,549,22.95242,23.23528,22.0317,20.88473,19.9121,GALAXY,1.287455,15.943,15.758,12.245,9.149
117.41971,44.73775,57067,8276,797,25.35582,23.26673,22.0349,20.73604,19.94507,GALAXY,1.054968,16.134,15.767,12.662,9.065
26.769555,20.339518,56933,7627,861,27.11809,23.80151,22.06723,20.92827,19.79562,GALAXY,1.008826,15.598,15.313,12.701,9.419
26.936742,18.894671,56933,7627,107,27.41405,24.3163,22.76452,21.64751,19.88297,GALAXY,1.069537,15.648,15.247,12.973,9.045
27.371783,18.4665,56933,7627,39,26.73636,23.78141,23.10575,21.49116,19.79402,GALAXY,1.063881,16.015,15.657,12.914,9.372
26.383491,18.304115,56933,7627,213,23.22034,23.09891,21.8977,20.28637,19.2881,GALAXY,1.157854,15.778,15.323,12.869,9.288
25.531723,19.734749,56933,7627,597,26.08838,25.57337,23.26601,21.55641,19.94114,GALAXY,1.041416,16.27,16.009,12.92,8.961
24.80631,18.76014,56933,7627,487,26.24167,22.7074,21.87566,20.72078,19.90484,GALAXY,1.00066,16.73,16.523,12.739,8.858
24.702169,18.857317,56978,7628,31,27.03542,24.32377,21.84919,20.63214,19.36868,GALAXY,1.034529,15.574,15.37,12.994,9.381
23.649059,3.5498886,58130,9437,118,22.16268,21.96166,21.15431,20.8758,19.64002,GALAXY,1.036665,16.252,15.896,11.846,8.325
24.316096,3.7294992,58130,9437,40,22.60095,22.64095,22.00939,21.13,20.80045,GALAXY,1.518392,17.179,16.465,12.223,9.215
24.202271,3.7048576,58130,9437,37,22.56206,22.55979,21.74845,21.33547,20.88801,GALAXY,1.014491,16.94,16.338,12.24,9.012
23.895092,3.4522608,58130,9437,74,22.66674,22.23094,21.88936,21.36886,20.80074,GALAXY,1.011922,16.825,16.738,12.688,9.103
23.569091,3.2976186,58130,9437,154,23.67024,22.80581,22.54919,21.41741,21.09961,GALAXY,1.037449,16.965,16.338,12.464,9.13
23.623868,3.0843722,58130,9437,144,23.71415,22.53507,21.76184,21.30927,20.58413,GALAXY,1.529552,16.89,16.97,12.725,8.62
23.919645,2.9299292,58130,9437,89,23.08153,22.7889,22.24402,21.25859,20.4757,GALAXY,1.25882,16.411,15.995,12.65,8.933
23.471232,2.7524406,58130,9437,170,22.53452,22.87947,22.33718,22.39738,20.67847,GALAXY,1.098042,17.232,16.688,12.694,9.112
23.455884,20.39309,56978,7628,715,21.96077,21.52486,21.70023,20.41005,19.44018,GALAXY,1.055152,16.127,15.562,12.29,9.125
23.455484,19.348706,56978,7628,735,27.13006,22.57111,22.07929,20.82302,19.96673,GALAXY,1.059554,16.867,16.513,12.9,9.156
23.958668,18.740211,56978,7628,233,25.47141,22.96868,21.85043,20.71037,19.7029,GALAXY,1.028815,16.169,15.639,12.615,9.307
24.250605,18.731348,56978,7628,143,23.09233,23.10022,22.51058,20.8191,19.95831,GALAXY,1.116843,16.066,15.013,11.797,9.446
22.516574,3.7385034,58130,9437,393,22.28365,22.23383,21.43174,20.61356,21.36622,GALAXY,1.201542,17.11,16.433,12.123,9.079
23.030522,3.5300525,58130,9437,278,22.68432,22.20643,21.65928,21.11518,20.72552,GALAXY,1.047496,16.978,16.148,12.497,8.697
23.233291,3.5561576,58130,9437,236,22.47211,22.37165,21.95464,21.78597,22.53408,GALAXY,1.292929,16.988,16.362,12.142,8.823
23.243798,3.2077886,58130,9437,226,26.11661,22.28534,21.28117,21.21798,20.16424,GALAXY,1.033542,16.767,16.436,11.979,8.817
22.925422,3.3105749,58130,9437,308,22.18853,23.57652,22.70076,21.5852,21.05749,GALAXY,1.076276,17.008,16.893,12.375,9.192
23.085359,3.4751362,58130,9437,269,23.67153,21.78793,21.59799,21.07218,20.36784,GALAXY,1.20481,16.223,15.736,12.622,9.205
23.045579,3.402284,58130,9437,266,22.88818,22.50035,22.04911,21.25057,20.65468,GALAXY,1.02707,15.84,15.554,12.643,9.036
22.431406,3.2767858,58130,9437,422,23.29629,23.69405,22.16055,21.8779,21.08797,GALAXY,1.209159,16.617,16.045,12.839,9.225
23.064476,3.1034936,58130,9437,271,21.82674,21.81636,21.31706,20.6242,20.39842,GALAXY,1.035752,17.303,16.707,12.237,8.667
23.049404,2.9601023,58130,9437,294,22.63549,22.95206,23.12299,22.8181,21.71708,GALAXY,1.337479,16.72,15.671,12.168,8.658
22.944795,3.1854861,58130,9437,301,22.18566,22.05946,21.43894,21.10823,20.40406,GALAXY,1.037403,16.227,16.083,12.834,8.808
22.927487,3.0677086,58130,9437,302,22.81964,22.5849,22.1318,21.95743,21.22369,GALAXY,1.375159,16.266,15.226,12.478,8.707
23.180352,3.1653084,58130,9437,225,21.4173,22.14286,21.44897,20.80641,20.72654,GALAXY,1.078534,16.987,15.955,12.185,9.228
22.57626,2.3360812,58130,9437,362,24.56678,22.57243,22.16271,21.61043,21.88484,GALAXY,1.153571,17.277,16.763,12.581,8.984
22.859459,2.244745,58130,9437,321,21.64897,21.53344,20.65634,20.38864,19.44088,GALAXY,1.016776,16.222,15.803,12.154,9.228
22.161556,-0.73613431,57373,8791,259,23.7751,22.95027,21.87556,21.4036,20.82921,GALAXY,1.801864,16.152,14.906,12.786,8.614
22.519304,-0.74270689,57373,8791,200,22.67744,22.11209,21.41143,21.48888,21.17379,GALAXY,1.03177,16.41,15.42,12.608,9.161
146.51864,49.220653,56661,7298,948,26.1152,21.83579,21.29641,20.81708,20.08986,GALAXY,1.023425,16.399,16.044,12.301,9.084
146.84847,49.279728,56661,7298,991,25.03801,22.86742,21.62995,20.22918,19.53659,GALAXY,1.031129,16.143,16.595,12.632,9.183
146.91948,49.197256,56661,7298,993,24.35821,22.88622,21.24155,20.34364,19.63435,GALAXY,1.032385,15.885,15.784,12.629,8.777
145.68468,48.526279,56661,7298,181,26.11454,23.18159,22.38673,21.28184,19.4964,GALAXY,1.023353,16.154,15.589,12.305,9.088
