Object,ra,dec,modelMag_u,modelMagErr_u,modelMag_g,modelMagErr_g,modelMag_r,modelMagErr_r,modelMag_i,modelMagErr_i,modelMag_z,modelMagErr_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,fiberMag_u,fiberMagErr_u,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,fiberMag_i,fiberMagErr_i,fiberMag_z,fiberMagErr_z,fiber2Mag_u,fiber2MagErr_u,fiber2Mag_g,fiber2MagErr_g,fiber2Mag_r,fiber2MagErr_r,fiber2Mag_i,fiber2MagErr_i,fiber2Mag_z,fiber2MagErr_z,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z,deVMag_u,deVMagErr_u,deVMag_g,deVMagErr_g,deVMag_r,deVMagErr_r,deVMag_i,deVMagErr_i,deVMag_z,deVMagErr_z,expMag_u,expMagErr_u,expMag_g,expMagErr_g,expMag_r,expMagErr_r,expMag_i,expMagErr_i,expMag_z,expMagErr_z,cModelMag_u,cModelMagErr_u,cModelMag_g,cModelMagErr_g,cModelMag_r,cModelMagErr_r,cModelMag_i,cModelMagErr_i,cModelMag_z,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z,w1mpro,w2mpro,w3mpro,w4mpro
sdssj011506.65-015307.0,18.77770833,-1.88527778,22.85689,0.3335142,21.97904,0.07487585,22.24888,0.132794,21.75829,0.12906,21.39604,0.2750776,22.77511,0.2980642,22.00959,0.07401626,22.21851,0.1247169,21.74235,0.1226897,21.29612,0.2392131,23.32974,0.5897248,22.144,0.1042633,22.67809,0.2470488,22.1491,0.2407659,22.22378,0.6789421,23.65479,0.5018995,22.6924,0.1159864,23.02758,0.2248407,22.61022,0.241175,22.25954,0.4612421,23.19654,0.7587159,21.74492,0.1757278,22.59461,0.4134853,21.81013,0.3440605,22.80271,1.174001,21.93614,0.3423233,21.63452,0.08746187,22.24888,0.1359552,21.75704,0.1718427,21.39424,0.2970837,22.85439,0.3331923,21.72838,0.0865549,22.24877,0.135953,21.75646,0.1718643,21.3946,0.2970251,21.93614,0.3423233,21.72838,0.0865549,22.24888,0.1359552,21.75704,0.1718427,21.39424,0.2970837,0.2000485,0.1558764,0.1078346,0.08013266,0.05960398,22.65684,21.82316,22.14104,21.67815,21.33644,0,0,0,0
sdssj022051.68-012403.3,35.21533333,-1.40091667,22.18733,0.2464606,20.42659,0.02296379,20.57988,0.03887254,20.71797,0.0678049,20.19131,0.1329068,22.13561,0.2241633,20.4537,0.02875735,20.58996,0.03845419,20.73709,0.06608378,20.21741,0.1286542,22.60108,0.3342144,20.7686,0.02921677,20.92576,0.05554,21.19452,0.1137894,20.46708,0.2032317,22.91218,0.2980106,21.26022,0.03247344,21.40506,0.0587238,21.61365,0.1123941,20.95893,0.2103387,22.38026,0.5342465,20.47368,0.03980653,20.5933,0.07945195,21.25466,0.2647395,19.95237,0.2525759,22.19739,0.2759359,20.41603,0.02296189,20.58288,0.04746816,20.73434,0.07018607,20.07107,0.1396667,22.19715,0.2759397,20.41613,0.02296158,20.57987,0.04751623,20.73547,0.07024224,20.11531,0.139469,22.19739,0.2759359,20.41613,0.02296158,20.57987,0.04751623,20.73434,0.07018607,20.07107,0.1396667,0.1293416,0.1007821,0.06972061,0.05180988,0.03853704,22.05799,20.3258,20.51015,20.66616,20.15277,17.005,16.155,12.21,9.268
sdssj075119.09+130202.4,117.82954167,13.034,23.43626,0.4572198,21.1953,0.03575417,20.761,0.03531724,20.22462,0.03342884,19.53413,0.06269393,23.41412,0.428567,21.21289,0.03450412,20.79813,0.0345319,20.27637,0.03384624,19.58877,0.06224695,23.60481,0.59136,21.5444,0.05079098,21.16602,0.05844808,20.57569,0.05501281,19.87096,0.1055775,23.91372,0.4797889,22.02345,0.05465389,21.64334,0.06182616,21.08632,0.05964318,20.35555,0.1106399,23.98266,1.064487,21.28502,0.05468274,20.92994,0.0617676,20.27656,0.05795534,19.59409,0.1078676,23.27494,0.4566894,21.21821,0.038004,20.75922,0.03845555,20.21747,0.03973493,19.49275,0.06267726,23.14277,0.4457685,21.2183,0.03800594,20.761,0.03852784,20.22305,0.03965926,19.49888,0.06268062,23.27494,0.4566894,21.2183,0.03800594,20.761,0.03852784,20.21929,0.0397105,19.49888,0.06268062,0.1386914,0.1080674,0.07476051,0.05555507,0.04132277,23.29757,21.08724,20.68624,20.16906,19.49281,15.489,14.58,11.979,8.103
sdssj075656.49+362507.4,119.235375,36.41872222,23.68425,0.5663365,20.93582,0.03222758,20.83575,0.04218022,20.90386,0.06525649,20.64138,0.1829853,23.51864,0.4812043,20.95801,0.03217788,20.86507,0.04168162,20.93325,0.06420114,20.67486,0.1799161,24.2591,0.7755197,21.26626,0.04225943,21.18538,0.06120575,21.31653,0.1083606,20.95691,0.2763596,24.20066,0.511507,21.7284,0.0450834,21.66891,0.06487735,21.76402,0.1098081,21.48572,0.2862678,24.35484,1.423585,21.01055,0.2265527,20.89611,0.2849084,21.07541,0.3041666,20.24192,0.4411968,23.6755,0.5663457,20.94439,0.03221253,20.8377,0.04293872,20.89748,0.06512906,20.35836,0.1837065,23.67552,0.5663588,20.94237,0.03221242,20.83575,0.04299524,20.89939,0.06512771,20.30952,0.188024,23.6755,0.5663457,20.94439,0.03221253,20.83575,0.04299524,20.89939,0.06512771,20.30952,0.188024,0.1894622,0.1476276,0.1021281,0.07589214,0.0564498,23.49479,20.78819,20.73363,20.82797,20.58493,17.016,16.856,11.915,8.761
sdssj081950.96+111507.9,124.96233333,11.25219444,24.04139,0.6817664,21.56229,0.04936591,22.04129,0.09957012,22.21337,0.1606116,21.93167,0.475871,23.89286,0.6067746,21.60178,0.04736536,22.09138,0.09316254,22.204,0.1412888,21.95112,0.4432871,23.50905,0.5617666,21.92135,0.0705905,22.40276,0.1726215,22.77724,0.3499541,21.79304,0.5308003,23.94519,0.4941432,22.39905,0.07488421,22.87502,0.1762963,23.10755,0.304478,22.23566,0.4576917,23.53162,0.9132833,21.60625,0.08693208,22.25994,0.247938,21.66262,0.2533836,21.47777,0.6823978,21.15468,0.4531549,21.56845,0.04939823,22.04045,0.1217345,22.24747,0.156294,19.78222,0.529725,21.56732,0.4317204,21.57745,0.04939349,22.04127,0.1219774,22.24746,0.1562958,20.58431,0.513338,21.56732,0.4317204,21.57745,0.04939349,22.04127,0.1219774,22.24747,0.156294,19.78222,0.529725,0.1186159,0.09242469,0.06393897,0.04751351,0.03534132,23.92277,21.46986,21.97736,22.16585,21.89633,0,0,0,0
sdssj084005.00+344832.1,130.02083333,34.80891667,22.97632,0.3347412,21.14832,0.03481816,21.21268,0.04664657,21.43079,0.08139391,21.10193,0.2425492,22.87426,0.280499,21.1996,0.03513813,21.29227,0.04554786,21.53225,0.08196374,21.13806,0.2224586,23.42412,0.5384428,21.51685,0.05004491,21.57013,0.08031516,21.73899,0.1349945,21.59125,0.4666021,23.73442,0.4490603,21.99966,0.05385205,22.06754,0.08576141,22.2456,0.1428897,22.01346,0.4144598,23.46946,0.8744672,21.25554,0.06054779,21.30301,0.09915912,21.29754,0.1430623,20.93343,0.5069,22.86004,0.3303118,21.15994,0.03912907,21.21268,0.05406278,21.30935,0.08773217,18.52917,0.2199886,22.85573,0.3295186,21.15758,0.03928912,21.22589,0.05323022,21.36249,0.08729854,21.13647,0.2382004,22.86004,0.3303118,21.15994,0.03912907,21.21268,0.05406278,21.36249,0.08729854,21.13647,0.2382004,0.1580001,0.1231126,0.08516873,0.06328949,0.04707575,22.81832,21.02521,21.12751,21.3675,21.05486,0,0,0,0
sdssj095118.93+450432.4,147.828875,45.07566667,21.88902,0.1592758,20.77869,0.02966784,21.08541,0.05506401,20.88089,0.06116053,20.51905,0.1614746,21.87834,0.1527328,20.78469,0.03484568,21.06818,0.05475184,20.87554,0.05890259,20.52525,0.159773,22.20017,0.1917011,21.05359,0.03779224,21.45184,0.07542939,21.21236,0.088392,20.92987,0.2437064,22.64839,0.1951446,21.5452,0.0412689,21.90722,0.07769395,21.70932,0.09381985,21.36229,0.2350173,22.34981,0.5110701,20.79493,0.05730903,21.24057,0.124554,20.98467,0.1469255,20.75218,0.424751,21.86076,0.2272637,20.72317,0.03073998,21.08279,0.06167558,20.81813,0.06099764,20.39351,0.1832783,21.85812,0.2273581,20.72489,0.03085534,21.08541,0.06171123,20.82586,0.06101477,20.37232,0.1842104,21.86076,0.2272637,20.72317,0.03073998,21.08541,0.06171123,20.81813,0.06099765,20.39351,0.1832783,0.04911884,0.03827307,0.02647713,0.01967535,0.01463484,21.8399,20.74042,21.05893,20.86121,20.50442,17.088,16.134,12.102,8.557
sdssj100250.98+382532.3,150.71241667,38.42563889,22.12761,0.1595659,20.60564,0.02513571,20.4188,0.02827042,20.50882,0.03985188,20.04553,0.09737425,22.08331,0.1431981,20.6311,0.02850005,20.43999,0.03387657,20.5205,0.0398808,20.05389,0.09353185,22.51614,0.2368562,20.94868,0.03267726,20.79371,0.04126092,20.86603,0.06422897,20.42001,0.1538237,22.91989,0.229819,21.44474,0.03624672,21.27607,0.04429171,21.35369,0.06816258,20.86514,0.1539459,22.80954,0.5229663,20.60303,0.0389176,20.49185,0.05213849,20.58627,0.08250561,20.21866,0.2150421,22.06587,0.1620015,20.58914,0.02513054,20.41881,0.03125395,20.53279,0.03976414,20.02584,0.0991843,22.07804,0.1618747,20.59577,0.02513389,20.4236,0.03115732,20.53275,0.03976412,20.06726,0.0993335,22.07804,0.1618747,20.58914,0.02513054,20.41881,0.03125395,20.53275,0.03976412,20.06726,0.0993335,0.06655597,0.05185996,0.03587648,0.02666007,0.01983019,22.06106,20.55378,20.38293,20.48215,20.0257,17.074,15.999,12.528,9.022
sdssj100916.93+031128.9,152.32054167,3.19136111,23.31962,0.4960179,21.62204,0.05950024,21.76101,0.07947778,21.94064,0.1312569,22.3125,0.5059485,23.14738,0.4148762,21.63448,0.05683435,21.81091,0.07666552,21.99113,0.1272639,22.17655,0.4547664,23.69249,0.6128743,21.96969,0.08317722,22.08742,0.1282688,22.28772,0.2119436,22.65279,0.6225548,23.76137,0.4325599,22.44218,0.08727754,22.57813,0.1344205,22.72699,0.2074877,22.5886,0.4113643,23.52828,0.9058482,21.77016,0.1303263,21.79882,0.1629716,22.22369,0.353087,22.81039,1.075037,23.32025,0.4961849,21.57121,0.05915556,21.76497,0.08828814,21.85455,0.1602453,21.70528,0.9463463,23.32011,0.4963573,21.57242,0.05912627,21.76102,0.08858648,21.85962,0.160254,21.78196,0.8901826,23.32025,0.4961849,21.57207,0.05913477,21.76102,0.08858648,21.85455,0.1602453,21.78196,0.8901826,0.1140325,0.08885336,0.06146834,0.04567757,0.03397572,23.20559,21.53318,21.69954,21.89497,22.27853,0,0,0,0
sdssj112230.35+341538.0,170.62645833,34.26055556,24.23534,1.023982,21.59233,0.05236424,21.79213,0.09911292,21.71115,0.1379471,21.82611,0.5669023,24.17846,0.8421532,21.73445,0.05078974,22.03074,0.09818701,21.93599,0.1318254,22.18685,0.5470444,24.28508,1.096554,22.01296,0.07799032,22.18431,0.1545951,22.13365,0.2288811,21.81835,0.6852477,24.26561,0.7302799,22.52188,0.08456942,22.72272,0.1681447,22.63129,0.2365051,22.26422,0.5880777,24.79796,4.593627,21.70932,0.1398329,21.63451,0.2374854,22.193,0.8321874,20.96543,0.802534,21.74532,1.422926,21.68932,0.05299323,21.72712,0.09943818,21.73669,0.1411463,18.95043,0.5642936,24.09939,1.09742,21.69074,0.05302474,21.79213,0.09911294,21.75409,0.1405725,19.37534,0.5490928,24.09939,1.09742,21.68963,0.05300014,21.77537,0.09923708,21.74061,0.1410228,19.37534,0.5490928,0.1015735,0.07914541,0.05475243,0.04068692,0.0302636,24.13377,21.51319,21.73738,21.67046,21.79585,0,0,0,0
